,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,0.0,0.0,99.65,114.2,112.7,0.0,111.1,110.4,99.05,99.5,98.3,0.0,106.75,0.0,103.15,109.25,97.94999999999999,98.4,97.95,108.35,123.6,110.7,105.5,0.0,113.1,0.0,109.4,72.4,100.15
BOS,0.0,0.0,113.75,104.75,108.8,121.55,100.3,106.7,106.7,116.0,91.9,109.30000000000001,0.0,0.0,117.6,118.85,0.0,105.9,105.3,120.05000000000001,108.8,125.4,116.8,0.0,0.0,102.6,108.4,98.6,0.0,102.3
BRK,0.0,102.05,0.0,106.3,95.0,94.3,0.0,115.2,110.8,112.0,92.3,101.1,101.3,110.30000000000001,0.0,0.0,100.35000000000001,116.8,0.0,94.9,102.8,106.2,106.4,113.2,108.4,107.3,99.0,101.2,0.0,104.7
CHO,105.8,97.44999999999999,107.2,0.0,113.5,113.75,111.55000000000001,0.0,0.0,91.35,0.0,106.4,0.0,124.4,103.6,96.75,110.9,113.85,105.1,107.0,0.0,122.75,113.0,0.0,0.0,0.0,119.8,117.1,111.9,112.1
CHI,106.3,108.3,110.8,100.3,0.0,114.4,92.3,110.0,0.0,112.8,0.0,107.51249999999999,113.1,104.05,0.0,109.3,99.1,103.8,0.0,116.4,0.0,119.2,105.9,0.0,114.9,0.0,102.25,0.0,98.6,104.80000000000001
CLE,108.6,127.60000000000001,113.3,125.25,108.2,0.0,132.3,0.0,138.0,100.55000000000001,108.9,95.8,99.2,129.9,101.5,129.9,114.60000000000001,0.0,0.0,125.7,0.0,108.8,107.80000000000001,0.0,139.3,0.0,0.0,118.025,0.0,107.8
DAL,0.0,92.5,0.0,101.8,120.5,93.0,0.0,126.5,108.05,96.2,103.3,114.75,102.80000000000001,119.05000000000001,73.8,0.0,86.4,0.0,112.25,88.8,0.0,92.3,0.0,0.0,102.95,100.1,102.80000000000001,0.0,105.75,0.0
DEN,110.0,122.6,110.2,0.0,113.1,0.0,120.0,0.0,111.8,97.25,102.7,0.0,108.4,0.0,108.7,97.2,0.0,108.65,99.9,130.7,115.4,126.3,116.5,118.5,114.57499999999999,0.0,0.0,106.19999999999999,103.19999999999999,89.7
HOU,95.7,107.7,114.5,0.0,0.0,129.3,124.1875,130.1,0.0,106.4,109.1,0.0,135.8,119.85,117.8,0.0,0.0,101.9,120.2,120.2,102.15,0.0,118.9,124.69999999999999,130.1,126.85,105.775,108.2,117.94999999999999,118.6
DET,114.2,118.65,103.8,98.3,101.05000000000001,96.6,107.5,112.15,103.2,0.0,108.5,99.2,103.65,0.0,94.9,114.9,103.05,131.4,0.0,110.5,100.55000000000001,107.15,87.5,98.7,0.0,0.0,100.5,95.6,0.0,118.7
GSW,104.5,108.6,106.9,0.0,0.0,107.9,119.55000000000001,127.0,105.0,114.3,0.0,127.10000000000001,120.5,113.05,92.1,0.0,124.9,122.0,113.125,104.7,126.0,0.0,0.0,127.225,127.89999999999999,0.0,101.8,125.35,108.45,0.0
IND,87.0,102.69999999999999,107.3,104.1,111.525,106.1,114.25,0.0,0.0,115.7,91.65,0.0,106.5,111.7,0.0,94.2,106.8,0.0,94.2,107.4,105.7,94.0,107.15,105.9,119.75,0.0,0.0,0.0,0.0,108.2
LAC,0.0,0.0,115.60000000000001,0.0,121.5,119.3,111.9,115.3,112.5,114.9,102.7,90.55,0.0,105.8,108.95,106.0,0.0,126.4,117.19999999999999,0.0,96.32499999999999,123.0,0.0,109.7,120.675,120.7,117.5,124.4,99.1,113.4
LAL,118.1,0.0,108.35,120.2,103.0,117.9,105.4,0.0,104.65,0.0,95.775,104.9,115.2,0.0,108.9,111.0,0.0,102.5,113.0,113.0,101.85,90.3,102.3,112.25,0.0,99.65,115.1,87.2,108.67500000000001,0.0
MEM,0.0,110.7,0.0,102.1,0.0,97.0,92.2,109.7,124.2,108.2,113.9,0.0,105.35,112.2,0.0,106.44999999999999,104.0,103.85,92.7,107.9,127.4,107.0,93.75,0.0,97.5,118.05000000000001,0.0,115.6,103.2,112.2
MIA,97.25,112.55000000000001,0.0,89.0,105.0,95.7,0.0,105.1,0.0,90.2,0.0,100.6,101.8,119.3,109.80000000000001,0.0,105.4,0.0,91.7,110.2,96.8,111.85,103.8,0.0,97.6,102.8,100.75,94.5,114.94999999999999,119.8
MIL,103.75,0.0,109.85,99.5,120.625,111.45,75.3,0.0,0.0,108.45,121.9,124.8,0.0,0.0,114.9,80.2,0.0,113.9,111.25,0.0,0.0,101.75,0.0,0.0,119.1,130.4,100.4,111.65,0.0,113.80000000000001
MIN,110.30000000000001,99.5,108.0,112.55,109.3,0.0,0.0,106.1,100.1,101.1,110.9,0.0,111.5,129.4,98.875,0.0,133.5,0.0,90.7,112.94999999999999,102.6,133.4,122.1,106.25,0.0,116.85,100.7,122.1,111.1,0.0
NOP,117.3,106.3,0.0,109.6,0.0,0.0,110.4,95.3,98.5,0.0,106.725,101.1,107.325,107.75,88.85,96.0,112.35,110.5,0.0,102.3,101.9,86.8,103.30000000000001,108.65,109.85,101.1,94.95,0.0,0.0,0.0
NYK,101.25,103.6,108.7,105.44999999999999,130.9,94.15,107.2,117.3,107.44999999999999,105.25,91.5,114.2,0.0,119.1,115.1,121.9,0.0,116.05000000000001,90.5,0.0,110.1,108.1,0.0,102.6,107.5,106.1,0.0,108.5,119.8,118.0
OKC,108.8,112.94999999999999,121.4,0.0,0.0,0.0,0.0,118.1,101.65,102.6,99.1,102.0,110.55000000000001,108.85,89.4,109.8,0.0,119.65,112.05000000000001,119.7,0.0,121.5,102.6,108.35,97.7,104.8,0.0,109.3,102.3,116.4
ORL,134.9,93.2,112.9,101.35,85.1,102.6,100.8,117.9,0.0,96.85,0.0,73.7,117.5,109.4,111.95,108.05,95.55000000000001,116.0,94.2,96.9,123.6,0.0,112.1,91.8,0.0,112.9,102.5,83.8,83.3,111.8
PHI,84.19999999999999,115.7,107.4,96.4,89.8,105.25,0.0,113.44999999999999,91.0,107.5,0.0,105.80000000000001,0.0,91.1,89.0,111.5,0.0,95.4,101.55,0.0,96.7,101.65,0.0,114.1,0.0,101.1,0.0,112.75,91.7,111.2
PHO,107.5,0.0,96.5,0.0,0.0,0.0,0.0,107.6,110.15,105.6,108.1,109.15,92.7,109.05000000000001,0.0,0.0,0.0,96.25,108.6,104.4,100.3,97.1,110.45,0.0,112.35,97.1,99.6,102.0,102.9,100.1
POR,0.0,0.0,128.3,0.0,103.15,127.1,107.6,110.9,113.35,0.0,94.44999999999999,127.75,109.875,0.0,99.75,105.1,110.8,0.0,111.1,103.5,117.3,0.0,0.0,112.5,0.0,117.375,103.05,92.5,124.8,0.0
SAC,101.3,97.3,124.7,0.0,0.0,0.0,104.9,0.0,102.95,0.0,0.0,0.0,114.7,107.05000000000001,111.9,91.4,101.4,120.75,109.7,100.55,120.4,104.1,103.1,116.8,111.175,0.0,107.05000000000001,109.5,100.8,89.3
SAS,0.0,115.35,127.4,125.0,110.44999999999999,0.0,109.75,0.0,107.925,112.2,131.3,0.0,102.0,124.8,0.0,106.65,101.5,116.1,112.0,0.0,0.0,89.5,0.0,118.4,123.35,114.1,0.0,0.0,105.05000000000001,116.0
